epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9912,1.6287,2.85587,1.90846,0.00333,1,0.0268,0.01511,1.1541,3.84772,1.32892,0.00014,0.00014,0.00014
2,20.3214,1.42572,2.70609,1.70284,0.00333,1,0.06706,0.02318,1.32693,3.80933,1.46507,0.0002901,0.0002901,0.0002901
3,28.9727,1.33574,2.26538,1.60379,0.00333,1,0.12903,0.01803,1.47283,3.84681,1.60562,0.00042964,0.00042964,0.00042964
4,38.2425,1.30512,2.1897,1.48066,0.00333,1,0.11493,0.02639,1.42156,3.83139,1.63155,0.00055862,0.00055862,0.00055862
5,46.8422,1.14232,1.93453,1.43474,0.00333,1,0.1287,0.05261,1.16325,3.55083,1.49998,0.00067704,0.00067704,0.00067704
6,55.4723,1.11965,2.06399,1.42538,0.00333,1,0.16951,0.07287,1.18232,3.52576,1.45357,0.0007849,0.0007849,0.0007849
7,64.1766,1.16006,1.92655,1.39743,0.00333,1,0.12814,0.05768,1.40507,3.60328,1.51186,0.0008822,0.0008822,0.0008822
8,72.9865,1.16298,1.70452,1.39356,0.00333,1,0.16882,0.06729,1.60394,3.55075,1.54421,0.00096894,0.00096894,0.00096894
9,81.8885,1.14412,1.63854,1.33146,0.08525,0.5,0.14515,0.04316,1.72281,3.47939,1.62551,0.00104512,0.00104512,0.00104512
10,90.6197,1.11756,1.84418,1.44829,0.08525,0.5,0.14515,0.04316,1.72281,3.47939,1.62551,0.00111074,0.00111074,0.00111074
11,99.3705,1.25132,1.65223,1.56031,0.05437,0.5,0.11384,0.01612,2.18611,4.44308,1.97863,0.0011658,0.0011658,0.0011658
12,109.459,1.30929,1.4683,1.52746,0.05437,0.5,0.11384,0.01612,2.18611,4.44308,1.97863,0.0012103,0.0012103,0.0012103
13,118.406,1.09033,1.71639,1.38096,0.00333,1,0.03145,0.01269,2.20988,4.73218,2.04025,0.001208,0.001208,0.001208
14,126.749,1.08603,1.44589,1.32245,0.00333,1,0.03145,0.01269,2.20988,4.73218,2.04025,0.001142,0.001142,0.001142
15,134.701,1.03194,1.52011,1.3421,0.00333,1,0.06066,0.03027,1.5654,3.81011,1.47029,0.001076,0.001076,0.001076
16,142.715,0.98977,1.49453,1.25713,0.00333,1,0.06066,0.03027,1.5654,3.81011,1.47029,0.00101,0.00101,0.00101
17,150.851,1.12448,1.69046,1.36731,0.14141,0.5,0.22111,0.11943,1.62762,3.73213,1.5198,0.000944,0.000944,0.000944
18,158.943,1.00013,1.51803,1.29456,0.14141,0.5,0.22111,0.11943,1.62762,3.73213,1.5198,0.000878,0.000878,0.000878
19,166.895,1.09435,1.52706,1.35634,0.34337,1,0.36182,0.20577,1.56588,3.31943,1.46597,0.000812,0.000812,0.000812
20,174.813,0.98101,1.28254,1.25034,0.34337,1,0.36182,0.20577,1.56588,3.31943,1.46597,0.000746,0.000746,0.000746
21,183.122,1.01404,2.28407,1.31682,0.49143,0.97002,0.4975,0.2735,1.58562,3.11624,1.40817,0.00068,0.00068,0.00068
22,191.239,0.92386,1.82277,1.22429,0.49143,0.97002,0.4975,0.2735,1.58562,3.11624,1.40817,0.000614,0.000614,0.000614
23,199.155,0.79224,1.88225,1.18542,0.48405,1,0.4975,0.26848,1.52132,2.99992,1.38575,0.000548,0.000548,0.000548
24,207.142,0.85096,1.63578,1.16235,0.48405,1,0.4975,0.26848,1.52132,2.99992,1.38575,0.000482,0.000482,0.000482
25,215.502,0.81536,1.80621,1.19467,0.47897,1,0.4975,0.24607,1.53896,3.06051,1.4463,0.000416,0.000416,0.000416
26,223.569,0.75978,1.80042,1.15779,0.47897,1,0.4975,0.24607,1.53896,3.06051,1.4463,0.00035,0.00035,0.00035
27,231.941,0.75264,1.64266,1.08942,0.5296,1,0.56857,0.30552,1.49909,2.94589,1.37727,0.000284,0.000284,0.000284
28,240.66,0.71251,1.69284,1.07295,0.5296,1,0.56857,0.30552,1.49909,2.94589,1.37727,0.000218,0.000218,0.000218
29,249.441,0.69924,1.79516,1.12078,0.53632,1,0.56857,0.31975,1.43777,2.84032,1.35516,0.000152,0.000152,0.000152
30,258.168,0.72949,1.59085,1.15104,0.53632,1,0.56857,0.31975,1.43777,2.84032,1.35516,8.6e-05,8.6e-05,8.6e-05
